Date,Teams,Score,Map,Event,Series
13-1-18,"['EMC', 'LEOPARD']","['16', '10']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals,11005
13-1-18,"['ORDER', 'NSPR']","['16', '11']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11004
13-1-18,"['NSPR', 'ORDER']","['5', '16']",Train,WESG 2017 Asia-Pacific Regional Finals,11004
13-1-18,"['MVP PK', 'BOOT-d[S]']","['16', '3']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals,11003
13-1-18,"['MVP PK', 'BOOT-d[S]']","['16', '14']",Nuke,WESG 2017 Asia-Pacific Regional Finals,11003
13-1-18,"['Young Daddy Gang', 'plan-B']","['5', '16']",Train,alpenScene Premiership Season 1 Finals,11002
13-1-18,"['Young Daddy Gang', 'plan-B']","['8', '16']",Inferno,alpenScene Premiership Season 1 Finals,11002
13-1-18,"['GoldenGitte', 'MANS NOT HOT']","['16', '11']",Cobblestone,Geeks Gone Wild 23,11001
13-1-18,"['GoldenGitte', 'MANS NOT HOT']","['9', '16']",Inferno,Geeks Gone Wild 23,11001
13-1-18,"['GoldenGitte', 'MANS NOT HOT']","['3', '16']",Train,Geeks Gone Wild 23,11001
13-1-18,"['Liquid', 'FlipSid3']","['16', '10']",Cobblestone,ELEAGUE Major 2018 Challengers Stage,11000
13-1-18,"['Bet at Home', 'ALPENKINGZ']","['5', '16']",Train,alpenScene Premiership Season 1 Finals,10999
13-1-18,"['ALPENKINGZ', 'Bet at Home']","['16', '5']",Inferno,alpenScene Premiership Season 1 Finals,10999
13-1-18,"['MOUZ', 'Natus Vincere']","['16', '2']",Mirage,ELEAGUE Major 2018 Challengers Stage,10998
13-1-18,"['AVANGAR', 'Space Soldiers']","['9', '16']",Mirage,ELEAGUE Major 2018 Challengers Stage,10997
13-1-18,"['Young Daddy Gang', 'Bet at Home']","['12', '16']",Train,alpenScene Premiership Season 1 Finals,10996
13-1-18,"['Bet at Home', 'Young Daddy Gang']","['5', '16']",Inferno,alpenScene Premiership Season 1 Finals,10996
13-1-18,"['Young Daddy Gang', 'Bet at Home']","['9', '16']",Mirage,alpenScene Premiership Season 1 Finals,10996
13-1-18,"['Envy', 'Renegades']","['6', '16']",Cache,ELEAGUE Major 2018 Challengers Stage,10995
13-1-18,"['Ambush', 'Tricked']","['14', '16']",Overpass,Geeks Gone Wild 23,10994
13-1-18,"['Flash', 'Quantum Bellator Fire']","['13', '16']",Inferno,ELEAGUE Major 2018 Challengers Stage,10993
13-1-18,"['Tricked', 'GoldenGitte']","['19', '16']",Overpass,Geeks Gone Wild 23,10992
13-1-18,"['Cloud9', 'Sprout']","['16', '5']",Inferno,ELEAGUE Major 2018 Challengers Stage,10991
13-1-18,"['ALPENKINGZ', 'plan-B']","['16', '5']",Train,alpenScene Premiership Season 1 Finals,10990
13-1-18,"['plan-B', 'ALPENKINGZ']","['7', '16']",Inferno,alpenScene Premiership Season 1 Finals,10990
13-1-18,"['Vega Squadron', 'FaZe']","['16', '6']",Inferno,ELEAGUE Major 2018 Challengers Stage,10989
13-1-18,"['Tricked', 'MANS NOT HOT']","['16', '4']",Cobblestone,Geeks Gone Wild 23,10988
13-1-18,"['MANS NOT HOT', 'Tricked']","['12', '16']",Train,Geeks Gone Wild 23,10988
14-1-18,"['G2', 'Misfits']","['16', '5']",Cobblestone,ELEAGUE Major 2018 Challengers Stage,10987
14-1-18,"['BOOT-d[S]', 'NSPR']","['16', '9']",Inferno,WESG 2017 Asia-Pacific Regional Finals,10986
14-1-18,"['NSPR', 'BOOT-d[S]']","['6', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals,10986
