Date,Team1,Team2,Score,Map,Event,Series
8-1-19,"['Endpoint', 'Luzuh', 'stan1ey', 'Thomas', 'Puls3', 'MiGHTYMAX']","['EURONICS', 'znajder', 'kzy', 'kolor', 'maRky', 'crisby']","['2', '16']",Dust2,ESEA MDL Season 29 Europe Relegation,8289
8-1-19,"['Flow', 'HugoXD', 'BENDJI', 'robiin', 'xajdish', 'ZER']","['unknown', 'netrick', 'fr0slev', 'Ryxxo', 'doktizh', 'dfen']","['13', '16']",Train,ESEA MDL Season 29 Europe Relegation,8288
8-1-19,"['Flow', 'robiin', 'ZER', 'HugoXD', 'BENDJI', 'xajdish']","['unknown', 'fr0slev', 'dfen', 'doktizh', 'Ryxxo', 'netrick']","['16', '13']",Cache,ESEA MDL Season 29 Europe Relegation,8288
9-1-19,"['SJ', 'Jamppi', 'SADDYX', 'arvid', 'xartE', 'uli']","['3DMAX', 'Davidp', 'hAdji', 'DEVIL', 'JiNKZ', 'Maka']","['16', '6']",Inferno,Hunt Wave League,8287
9-1-19,"['Vega Squadron', 'hutji', 'jR', 'tonyblack', 'chopper', 'crush']","['3DMAX', 'Maka', 'JiNKZ', 'Davidp', 'hAdji', 'DEVIL']","['16', '3']",Mirage,Hunt Wave League,8286
9-1-19,"['Vega Squadron', 'chopper', 'jR', 'tonyblack', 'crush', 'hutji']","['3DMAX', 'Maka', 'DEVIL', 'Davidp', 'JiNKZ', 'hAdji']","['6', '16']",Inferno,Hunt Wave League,8286
9-1-19,"['ViCi', 'zhokiNg', 'Kaze', 'Freeman', 'aumaN', 'advent']","['SJ', 'arvid', 'SADDYX', 'Jamppi', 'uli', 'xartE']","['16', '8']",Overpass,Hunt Wave League,8285
9-1-19,"['ViCi', 'Kaze', 'zhokiNg', 'Freeman', 'advent', 'aumaN']","['SJ', 'arvid', 'SADDYX', 'uli', 'Jamppi', 'xartE']","['10', '16']",Train,Hunt Wave League,8285
9-1-19,"['Valiance', 'EspiranTo', 'ottoNd', 'huNter-', 'nexa', 'LETN1']","['Tricked', 'acoR', 'b0RUP', 'glace', 'Lukki', 'snedker']","['16', '10']",Overpass,ESEA MDL Season 29 Europe Relegation,8284
9-1-19,"['Valiance', 'EspiranTo', 'huNter-', 'ottoNd', 'nexa', 'LETN1']","['Tricked', 'acoR', 'snedker', 'glace', 'b0RUP', 'Lukki']","['4', '16']",Cache,ESEA MDL Season 29 Europe Relegation,8284
9-1-19,"['Izako Boars', 'NEEX', 'tecek', 'Patitek', 'nawrot', 'matty']","['Arena Bulls', 'l0gicman', 'ELOSSA', 'KEY', 'sterben', 'bishop']","['14', '16']",Cache,ESEA MDL Season 29 Europe Relegation,8283
9-1-19,"['Izako Boars', 'nawrot', 'Patitek', 'NEEX', 'tecek', 'matty']","['Arena Bulls', 'sterben', 'l0gicman', 'bishop', 'ELOSSA', 'KEY']","['16', '8']",Overpass,ESEA MDL Season 29 Europe Relegation,8283
9-1-19,"['Izako Boars', 'matty', 'tecek', 'NEEX', 'Patitek', 'nawrot']","['Arena Bulls', 'l0gicman', 'sterben', 'bishop', 'ELOSSA', 'KEY']","['16', '11']",Mirage,ESEA MDL Season 29 Europe Relegation,8283
9-1-19,"['Endpoint', 'Thomas', 'stan1ey', 'MiGHTYMAX', 'Puls3', 'Luzuh']","['HAVU', 'ZOREE', 'sAw', 'disturbed', 'zehN', 'Twixie']","['16', '7']",Mirage,ESEA MDL Season 29 Europe Relegation,8282
9-1-19,"['Endpoint', 'Thomas', 'Luzuh', 'Puls3', 'stan1ey', 'MiGHTYMAX']","['HAVU', 'ZOREE', 'disturbed', 'Twixie', 'zehN', 'sAw']","['16', '7']",Dust2,ESEA MDL Season 29 Europe Relegation,8282
