,Winner,Team1,Team2,Team1_Score,Team2_Score,Map
25157,Lyngby Vikings,Lyngby Vikings,SJ,8,16,Nuke
25158,Se7en,SJ,Se7en,16,4,Nuke
25159,HAVU,HAVU,SJ,16,11,Dust2
25160,SJ,SJ,Syman,16,12,Inferno
25161,SJ,adwokacik,SJ,16,19,Dust2
25162,SJ,SJ,Syman,16,13,Dust2
25163,HAVU,HAVU,SJ,16,13,Inferno
25164,Unique,SJ,Unique,11,16,Mirage
25165,HAVU,HAVU,SJ,16,10,Dust2
25166,OneThree,SJ,OneThree,16,3,Nuke
25167,Copenhagen Flames,Copenhagen Flames,SJ,16,11,Mirage
25168,OneThree,SJ,OneThree,1,16,Inferno
25169,Copenhagen Flames,Copenhagen Flames,SJ,8,16,Inferno
25170,OneThree,SJ,OneThree,16,4,Train
25171,SJ,adwokacik,SJ,14,16,Train
25172,Syman,SJ,Syman,10,16,Inferno
25173,SJ,adwokacik,SJ,11,16,Nuke
25174,hREDS,SJ,hREDS,12,16,Nuke
25175,Unique,Unique,SJ,16,11,Nuke
25176,SJ,SJ,hREDS,16,14,Dust2
25177,OneThree,OneThree,SJ,8,16,Mirage
25178,SJ,SJ,KOVA,16,12,Vertigo
25179,OneThree,OneThree,SJ,3,16,Nuke
25180,SJ,SJ,hREDS,9,16,Dust2
25181,SJ,Syman,SJ,16,5,Dust2
25182,hREDS,SJ,hREDS,16,6,Nuke
25183,SJ,Aristocracy,SJ,16,6,Dust2
25184,Nemiga,SJ,Nemiga,16,5,Nuke
25185,SJ,Illuminar,SJ,14,16,Train
25186,Nemiga,SJ,Nemiga,10,16,Dust2
25187,Giants,Giants,SJ,16,11,Inferno
25188,SJ,SJ,Nemiga,16,13,Inferno
25189,SJ,Giants,SJ,13,16,Nuke
25190,HellRaisers,SJ,HellRaisers,16,6,Nuke
25191,SJ,Giants,SJ,16,6,Dust2
25192,SJ,SJ,HellRaisers,16,11,Inferno
25193,hREDS,hREDS,SJ,9,16,Inferno
25194,SJ,SJ,hREDS,7,16,Dust2
25195,KOVA,KOVA,SJ,4,16,Train
25196,SJ,SJ,hREDS,8,16,Inferno
25197,hREDS,hREDS,SJ,8,16,Inferno
25198,Hard Legion,SJ,Hard Legion,11,16,Overpass
25199,SJ,HellRaisers,SJ,16,5,Mirage
25200,Hard Legion,SJ,Hard Legion,16,9,Mirage
25201,SJ,Hard Legion,SJ,16,19,Inferno
25202,Unicorns of Love,SJ,Unicorns of Love,16,9,Vertigo
25203,Hard Legion,Hard Legion,SJ,8,16,Train
25204,Unicorns of Love,SJ,Unicorns of Love,11,16,Train
25205,SJ,Hard Legion,SJ,10,16,Train
25206,SJ,SJ,Wisla Krakow,16,10,Dust2
25207,Unicorns of Love,Unicorns of Love,SJ,19,17,Nuke
25208,ALTERNATE aTTaX,SJ,ALTERNATE aTTaX,14,16,Mirage
25209,Wisla Krakow,Wisla Krakow,SJ,16,12,Nuke
25210,SJ,SJ,HAVU,7,16,Nuke
25211,Wisla Krakow,Wisla Krakow,SJ,16,12,Train
25212,HAVU,SJ,HAVU,10,16,Overpass
25213,ALTERNATE aTTaX,ALTERNATE aTTaX,SJ,16,13,Vertigo
25214,Copenhagen Flames,SJ,Copenhagen Flames,13,16,Nuke
25215,Copenhagen Flames,Copenhagen Flames,SJ,16,13,Inferno
25216,SJ,SJ,CR4ZY,2,16,Dust2
25217,SJ,Heroic,SJ,13,16,Nuke
25218,SJ,SJ,Unique,16,14,Nuke
25219,GODSENT,GODSENT,SJ,16,11,Nuke
25220,Unique,SJ,Unique,16,3,Train
25221,SJ,CR4ZY,SJ,16,2,Nuke
25222,HAVU,SJ,HAVU,12,16,Nuke
25223,SJ,Secret,SJ,14,16,Dust2
25224,SJ,SJ,Ambush,7,16,Inferno
25225,Secret,Secret,SJ,9,16,Nuke
25226,SJ,SJ,Ambush,4,16,Mirage
25227,Unique,Unique,SJ,16,13,Vertigo
25228,SKADE,SJ,SKADE,16,7,Inferno
25229,SJ,HAVU,SJ,16,5,Dust2
25230,SKADE,SJ,SKADE,16,19,Mirage
25231,Nordavind,Nordavind,SJ,19,17,Nuke
25232,SJ,SJ,SKADE,4,16,Train
25233,Nordavind,Nordavind,SJ,16,10,Mirage
25234,SJ,SJ,AGO,6,16,Dust2
25235,SJ,Singularity,SJ,16,9,Vertigo
25236,hREDS,SJ,hREDS,16,9,Inferno
25237,FATE,FATE,SJ,16,14,Train
25238,SJ,SJ,hREDS,16,12,Nuke
25239,SJ,LDLC,SJ,16,8,Train
25240,hREDS,SJ,hREDS,16,4,Train
25241,SJ,KOVA,SJ,11,16,Vertigo
25242,LDLC,SJ,LDLC,13,16,Inferno
25243,KOVA,KOVA,SJ,8,16,Train
25244,SJ,SJ,HAVU,4,16,Dust2
25245,SJ,HAVU,SJ,16,19,Train
25246,Tricked,SJ,Tricked,16,9,Nuke
25247,HAVU,HAVU,SJ,16,11,Nuke
25248,Tricked,SJ,Tricked,11,16,Dust2
25249,ALTERNATE aTTaX,ALTERNATE aTTaX,SJ,16,10,Inferno
25250,KOVA,SJ,KOVA,11,16,Nuke
25251,SJ,ALTERNATE aTTaX,SJ,16,7,Vertigo
25252,SKADE,SKADE,Heretics,16,12,Dust2
25253,SKADE,Heretics,SKADE,11,16,Mirage
25254,SKADE,SKADE,Se7en,16,10,Inferno
25255,SKADE,Heretics,SKADE,13,16,Dust2
25256,SKADE,SKADE,Espada,16,12,Overpass
25257,SKADE,Heretics,SKADE,14,16,Mirage
25258,OneThree,SKADE,OneThree,11,16,Inferno
25259,SKADE,Se7en,SKADE,16,8,Dust2
25260,Se7en,SKADE,Se7en,16,3,Train
25261,SKADE,Se7en,SKADE,16,6,Mirage
25262,Se7en,SKADE,Se7en,16,5,Inferno
25263,SKADE,Espada,SKADE,12,16,Mirage
25264,SKADE,SKADE,OneThree,8,16,Overpass
25265,SKADE,Se7en,SKADE,16,19,Inferno
25266,SKADE,SKADE,HAVU,7,16,Overpass
25267,SKADE,Se7en,SKADE,20,22,Nuke
25268,SKADE,SKADE,HAVU,3,16,Nuke
25269,OneThree,OneThree,SKADE,9,16,Overpass
25270,HAVU,SKADE,HAVU,10,16,Nuke
25271,SKADE,OneThree,SKADE,16,4,Mirage
25272,SKADE,SKADE,HAVU,8,16,Train
25273,Se7en,Se7en,SKADE,16,13,Nuke
25274,Espada,SKADE,Espada,14,16,Dust2
25275,OneThree,OneThree,SKADE,16,10,Inferno
25276,Espada,SKADE,Espada,16,9,Nuke
25277,PACT,PACT,SKADE,16,12,Train
25278,SKADE,SKADE,Espada,16,10,Mirage
25279,PACT,PACT,SKADE,16,12,Nuke
25280,SKADE,SKADE,Nordavind,19,16,Mirage
25281,Syman,Syman,SKADE,16,13,Train
25282,SKADE,SKADE,Heretics,16,13,Dust2
25283,SKADE,Heretics,SKADE,16,2,Inferno
25284,SKADE,SKADE,Heretics,16,13,Mirage
25285,HAVU,HAVU,SKADE,8,16,Inferno
25286,SKADE,SKADE,Pompa,9,16,Train
25287,SKADE,Heretics,SKADE,16,19,Inferno
25288,SKADE,SKADE,AGO,16,13,Inferno
25289,pro100,pro100,SKADE,9,16,Train
25290,Aristocracy,SKADE,Aristocracy,17,19,Nuke
25291,SKADE,SMASH,SKADE,16,5,Nuke
25292,SKADE,SKADE,Illuminar,6,16,Mirage
25293,SMASH,SMASH,SKADE,7,16,Inferno
25294,SKADE,SKADE,Illuminar,8,16,Nuke
25295,SKADE,SMASH,SKADE,16,7,Train
25296,Virtus.pro,SKADE,Virtus.pro,15,19,Nuke
25297,HAVU,HAVU,SKADE,8,16,Train
25298,SKADE,SKADE,Virtus.pro,16,14,Mirage
25299,SKADE,Phoenix,SKADE,17,19,Inferno
25300,MAJESTY,SKADE,MAJESTY,16,8,Train
25301,Copenhagen Flames,Copenhagen Flames,SKADE,22,19,Nuke
25302,SKADE,SKADE,Nordavind,19,16,Inferno
25303,Copenhagen Flames,Copenhagen Flames,SKADE,16,10,Train
25304,Project X,SKADE,Project X,12,16,Nuke
25305,SKADE,Espada,SKADE,16,8,Train
25306,SKADE,SKADE,HAVU,7,16,Overpass
25307,SKADE,Espada,SKADE,16,4,Dust2
25308,AGO,SKADE,AGO,15,19,Dust2
25309,SKADE,Izako Boars,SKADE,18,22,Mirage
25310,SKADE,SKADE,Nexus,16,13,Inferno
25311,SKADE,Izako Boars,SKADE,13,16,Train
25312,SKADE,SKADE,FATE,8,16,Dust2
25313,Nordavind,Nordavind,SKADE,8,16,Dust2
25314,FATE,SKADE,FATE,14,16,Train
25315,Heretics,Heretics,SKADE,16,14,Nuke
25316,DreamEaters,SKADE,DreamEaters,16,6,Overpass
25317,Pompa,Pompa,SKADE,8,16,Overpass
25318,SKADE,SKADE,Phoenix,5,16,Mirage
25319,Pompa,Pompa,SKADE,4,16,Mirage
25320,SG.pro,SKADE,SG.pro,16,9,Train
25321,AGO,AGO,SKADE,6,16,Train
25322,DreamEaters,SKADE,DreamEaters,16,8,Inferno
25323,SKADE,Aristocracy,SKADE,16,8,Mirage
25324,Ambush,SKADE,Ambush,16,9,Inferno
25325,SKADE,Virtus.pro,SKADE,13,16,Overpass
25326,SKADE,SKADE,Unique,5,16,Overpass
25327,AGO,AGO,SKADE,16,10,Nuke
25328,SKADE,SKADE,Phoenix,9,16,Mirage
25329,SKADE,AGO,SKADE,16,3,Train
25330,Phoenix,SKADE,Phoenix,16,19,Overpass
25331,SKADE,MAJESTY,SKADE,12,16,Dust2
25332,Phoenix,SKADE,Phoenix,16,5,Train
25333,SKADE,Nordavind,SKADE,10,16,Dust2
25334,Akatsuki,SKADE,Akatsuki,16,3,Inferno
25335,SKADE,Project X,SKADE,11,16,Inferno
25336,Akatsuki,SKADE,Akatsuki,16,4,Dust2
25337,Project X,Project X,SKADE,16,14,Mirage
25338,SKADE,SKADE,Brute,16,10,Inferno
25339,SKADE,HAVU,SKADE,16,5,Nuke
25340,SKADE,SKADE,Brute,16,14,Nuke
25341,AGO,AGO,SKADE,16,10,Train
25342,SKADE,SKADE,Ambush,22,20,Inferno
25343,SKADE,AGO,SKADE,11,16,Inferno
25344,FATE,SKADE,FATE,13,16,Inferno
25345,SKADE,Nexus,SKADE,14,16,Overpass
25346,SKADE,SKADE,FATE,16,11,Train
25347,SKADE,FATE,SKADE,14,16,Inferno
25348,Heroic,SKADE,Heroic,13,16,Inferno
25349,DreamEaters,DreamEaters,SKADE,7,16,Inferno
25350,OG,SKADE,OG,13,16,Train
25351,Ambush,Ambush,SKADE,16,12,Train
25352,SKADE,SKADE,AVEZ,8,16,Nuke
25353,SKADE,Ambush,SKADE,10,16,Dust2
25354,AVEZ,SKADE,AVEZ,16,6,Mirage
25355,Ambush,Ambush,SKADE,9,16,Overpass
25356,MAD Lions,SKADE,MAD Lions,10,16,Nuke
25357,Phoenix,Phoenix,SKADE,16,11,Train
25358,SKADE,SKADE,Nexus,8,16,Mirage
25359,Project X,Project X,SKADE,5,16,Nuke
25360,MeAndTheBoys,SKADE,MeAndTheBoys,16,6,Dust2
25361,SKADE,Project X,SKADE,13,16,Inferno
25362,MeAndTheBoys,SKADE,MeAndTheBoys,16,6,Train
25363,SG.pro,SG.pro,SKADE,6,16,Mirage
25364,cisbots,SKADE,cisbots,16,9,Mirage
25365,SKADE,SG.pro,SKADE,16,3,Overpass
25366,SKADE,SKADE,CR4ZY,8,16,Train
25367,SKADE,SJ,SKADE,16,7,Inferno
25368,CR4ZY,SKADE,CR4ZY,15,19,Nuke
25369,SKADE,SJ,SKADE,16,19,Mirage
25370,ALTERNATE aTTaX,SKADE,ALTERNATE aTTaX,16,3,Train
25371,SJ,SJ,SKADE,4,16,Train
25372,SKADE,SKADE,Nemiga,8,16,Nuke
25373,DreamEaters,DreamEaters,SKADE,2,16,Nuke
25374,Tricked,SKADE,Tricked,14,16,Inferno
25375,SKADE,Ambush,SKADE,17,19,Overpass
25376,Complexity,SKADE,Complexity,12,16,Dust2
25377,Ambush,Ambush,SKADE,16,14,Train
25378,SKADE,SKADE,TheDabers,16,10,Overpass
25379,SKADE,PACT,SKADE,14,16,Nuke
25380,SKADE,SKADE,Singularity,16,14,Inferno
25381,SKADE,PACT,SKADE,13,16,Inferno
25382,Singularity,SKADE,Singularity,11,16,Nuke
25383,SKADE,Unique,SKADE,16,19,Nuke
25384,SKADE,SKADE,Singularity,16,11,Overpass
25385,SKADE,Unique,SKADE,15,19,Train
25386,SKADE,SKADE,pro100,16,13,Inferno
25387,SKADE,Phoenix,SKADE,10,16,Inferno
25388,SKADE,SKADE,Heretics,16,10,Train
25389,Phoenix,Phoenix,SKADE,16,10,Dust2
25390,SKADE,SKADE,Spirit,16,10,Overpass
25391,SKADE,Ambush,SKADE,13,16,Train
25392,SKADE,SKADE,Spirit,16,14,Nuke
25393,SKADE,FATE,SKADE,12,16,Overpass
25394,SKADE,SKADE,HellRaisers,16,12,Dust2
25395,SKADE,Heroic,SKADE,16,7,Nuke
25396,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25397,SKADE,Avengers,SKADE,13,16,Inferno
25398,SKADE,SKADE,HellRaisers,16,12,Dust2
25399,SKADE,AVEZ,SKADE,14,16,Overpass
25400,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25401,MAD Lions,MAD Lions,SKADE,7,16,Dust2
25402,SKADE,SKADE,HellRaisers,16,12,Dust2
25403,MAD Lions,MAD Lions,SKADE,16,14,Train
25404,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25405,SKADE,Nexus,SKADE,13,16,Overpass
25406,SKADE,SKADE,HellRaisers,16,12,Dust2
25407,SKADE,Nexus,SKADE,14,16,Inferno
25408,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25409,MeAndTheBoys,MeAndTheBoys,SKADE,16,10,Inferno
25410,SKADE,SKADE,HellRaisers,16,12,Dust2
25411,SKADE,Gambit Youngsters,SKADE,12,16,Train
25412,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25413,cisbots,cisbots,SKADE,9,16,Inferno
25414,SKADE,SKADE,HellRaisers,16,12,Dust2
25415,CR4ZY,CR4ZY,SKADE,8,16,Inferno
25416,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25417,SKADE,Tricked,SKADE,12,16,Inferno
25418,SKADE,SKADE,HellRaisers,16,12,Dust2
25419,Tricked,Tricked,SKADE,16,12,Nuke
25420,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25421,Tricked,Tricked,SKADE,16,14,Train
25422,SKADE,SKADE,HellRaisers,16,12,Dust2
25423,SKADE,ALTERNATE aTTaX,SKADE,11,16,Inferno
25424,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25425,SKADE,Nemiga,SKADE,16,8,Mirage
25426,SKADE,SKADE,HellRaisers,16,12,Dust2
25427,Tricked,Tricked,SKADE,16,14,Nuke
25428,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25429,SKADE,FiveG,SKADE,12,16,Dust2
25430,SKADE,SKADE,HellRaisers,16,12,Dust2
25431,SKADE,Demolition Crew,SKADE,12,16,Inferno
25432,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25433,KOVA,KOVA,SKADE,16,13,Train
25434,SKADE,SKADE,HellRaisers,16,12,Dust2
25435,SKADE,Illuminar,SKADE,16,3,Overpass
25436,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25437,SKADE,pro100,SKADE,16,4,Dust2
25438,SKADE,SKADE,HellRaisers,16,12,Dust2
25439,SKADE,pro100,SKADE,14,16,Overpass
25440,Juggernauts,SKADE,Juggernauts,16,5,Nuke
25441,Heretics,Heretics,SKADE,19,17,Nuke
25442,Endpoint,SKADE,Endpoint,12,16,Dust2
25443,Heretics,Heretics,SKADE,9,16,Inferno
25444,Pompa,SKADE,Pompa,16,3,Train
25445,SKADE,Copenhagen Flames,SKADE,14,16,Inferno
25446,SKADE,SKADE,Tricked,16,12,Mirage
25447,SKADE,Copenhagen Flames,SKADE,19,22,Nuke
25448,Turkey5,SKADE,Turkey5,13,16,Dust2
25449,AVEZ,AVEZ,SKADE,8,16,Inferno
25450,Tricked,SKADE,Tricked,13,16,Mirage
25451,SKADE,AVEZ,SKADE,16,9,Nuke
25452,SKADE,SKADE,Prima,8,16,Train
25453,SKADE,AVEZ,SKADE,16,9,Train
25454,SKADE,SKADE,Prima,16,10,Overpass
25455,SKADE,HellRaisers,SKADE,16,7,Train
25456,Salamander,SKADE,Salamander,12,16,Train
25457,SKADE,HellRaisers,SKADE,13,16,Inferno
25458,Salamander,SKADE,Salamander,17,19,Dust2
25459,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25460,Pompa,SKADE,Pompa,14,16,Mirage
25461,SKADE,HellRaisers,SKADE,16,7,Train
25462,SKADE,SKADE,Tricked,16,10,Mirage
25463,SKADE,HellRaisers,SKADE,13,16,Inferno
25464,Espada,SKADE,Espada,17,19,Nuke
25465,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25466,SKADE,SKADE,Espada,16,13,Mirage
25467,SKADE,HellRaisers,SKADE,16,7,Train
25468,SKADE,SKADE,Nemiga,16,10,Nuke
25469,SKADE,HellRaisers,SKADE,13,16,Inferno
25470,Nemiga,SKADE,Nemiga,15,19,Inferno
25471,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25472,SKADE,SKADE,Singularity,16,10,Nuke
25473,SKADE,HellRaisers,SKADE,16,7,Train
25474,Sprout,SKADE,Sprout,11,16,Mirage
25475,SKADE,HellRaisers,SKADE,13,16,Inferno
25476,Sprout,SKADE,Sprout,12,16,Inferno
25477,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25478,FATE,SKADE,FATE,16,19,Train
25479,SKADE,HellRaisers,SKADE,16,7,Train
25480,SKADE,SKADE,FATE,16,12,Dust2
25481,SKADE,HellRaisers,SKADE,13,16,Inferno
25482,Salamander,SKADE,Salamander,10,16,Train
25483,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25484,SKADE,SKADE,Ambush,2,16,Overpass
25485,SKADE,HellRaisers,SKADE,16,7,Train
25486,SKADE,SKADE,Winstrike,9,16,Mirage
25487,SKADE,HellRaisers,SKADE,13,16,Inferno
25488,SKADE,SKADE,Winstrike,4,16,Dust2
25489,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25490,SKADE,SKADE,Endpoint,5,16,Inferno
25491,SKADE,HellRaisers,SKADE,16,7,Train
25492,SKADE,SKADE,Gambit Youngsters,16,14,Train
25493,SKADE,HellRaisers,SKADE,13,16,Inferno
25494,Heretics,SKADE,Heretics,15,19,Dust2
25495,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25496,SKADE,SKADE,Nordavind,16,13,Dust2
25497,SKADE,HellRaisers,SKADE,16,7,Train
25498,SKADE,SKADE,Nordavind,6,16,Nuke
25499,SKADE,HellRaisers,SKADE,13,16,Inferno
25500,SKADE,SKADE,Endpoint,16,13,Overpass
25501,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25502,GamerLegion,SKADE,GamerLegion,16,5,Inferno
25503,SKADE,HellRaisers,SKADE,16,7,Train
25504,Endpoint,SKADE,Endpoint,10,16,Dust2
25505,SKADE,HellRaisers,SKADE,13,16,Inferno
25506,Sprout,SKADE,Sprout,17,19,Dust2
25507,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25508,PACT,SKADE,PACT,12,16,Dust2
25509,SKADE,HellRaisers,SKADE,16,7,Train
25510,Endpoint,SKADE,Endpoint,16,4,Inferno
25511,SKADE,HellRaisers,SKADE,13,16,Inferno
25512,Endpoint,SKADE,Endpoint,15,19,Overpass
25513,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25514,SKADE,SKADE,HellRaisers,16,14,Train
25515,SKADE,HellRaisers,SKADE,16,7,Train
25516,HellRaisers,SKADE,HellRaisers,11,16,Inferno
25517,SKADE,HellRaisers,SKADE,13,16,Inferno
25518,Tricked,SKADE,Tricked,16,19,Nuke
25519,Juggernauts,Juggernauts,SKADE,7,16,Dust2
25520,SMASH,SMASH,Aristocracy,4,16,Vertigo
25521,SJ,SJ,SMASH,16,11,Inferno
25522,SMASH,SMASH,Heretics,8,16,Dust2
25523,SMASH,SJ,SMASH,10,16,Nuke
25524,Syman,SMASH,Syman,16,8,Train
25525,SMASH,SJ,SMASH,11,16,Overpass
25526,SMASH,SMASH,Spirit,16,10,Overpass
25527,Aristocracy,Aristocracy,SMASH,16,10,Mirage
25528,Spirit,SMASH,Spirit,17,19,Dust2
25529,SMASH,Aristocracy,SMASH,11,16,Inferno
25530,Heroic,SMASH,Heroic,14,16,Nuke
25531,Heretics,Heretics,SMASH,6,16,Train
25532,ex-Epsilon,SMASH,ex-Epsilon,10,16,Inferno
25533,SMASH,Heretics,SMASH,10,16,Overpass
25534,SMASH,SMASH,Illuminar,9,16,Mirage
25535,Windigo,Windigo,SMASH,6,16,Nuke
25536,SMASH,SMASH,Movistar Riders,19,17,Inferno
25537,Windigo,Windigo,SMASH,16,10,Mirage
25538,Illuminar,SMASH,Illuminar,12,16,Vertigo
25539,Windigo,Windigo,SMASH,16,10,Dust2
25540,SMASH,SMASH,HAVU,16,13,Overpass
25541,SMASH,Syman,SMASH,18,22,Dust2
25542,SMASH,SMASH,HAVU,16,10,Dust2
25543,SMASH,Spirit,SMASH,14,16,Train
25544,SMASH,SMASH,HellRaisers,16,10,Vertigo
25545,SMASH,Heroic,SMASH,16,8,Overpass
25546,Ancient,SMASH,Ancient,12,16,Dust2
25547,SMASH,ex-Epsilon,SMASH,12,16,Nuke
25548,SMASH,SMASH,Aristocracy,16,11,Dust2
25549,ex-Epsilon,ex-Epsilon,SMASH,8,16,Train
25550,Virtus.pro,SMASH,Virtus.pro,13,16,Nuke
25551,Illuminar,Illuminar,SMASH,16,14,Train
25552,HAVU,SMASH,HAVU,16,2,Overpass
25553,SMASH,Movistar Riders,SMASH,12,16,Nuke
25554,SMASH,SMASH,Heretics,9,16,Dust2
25555,SMASH,Illuminar,SMASH,10,16,Nuke
25556,SMASH,SMASH,Copenhagen Flames,16,12,Nuke
25557,Illuminar,Illuminar,SMASH,5,16,Overpass
25558,Syman,SMASH,Syman,16,6,Dust2
25559,SMASH,HellRaisers,SMASH,11,16,Train
25560,SKADE,SMASH,SKADE,16,5,Nuke
25561,PACT,PACT,SMASH,3,16,Inferno
25562,SMASH,SMASH,SKADE,7,16,Inferno
25563,SMASH,PACT,SMASH,11,16,Train
25564,SKADE,SMASH,SKADE,16,7,Train
25565,Virtus.pro,Virtus.pro,SMASH,16,12,Train
25566,Ancient,SMASH,Ancient,16,19,Inferno
25567,SMASH,Aristocracy,SMASH,14,16,Overpass
25568,Ancient,SMASH,Ancient,12,16,Dust2
25569,Virtus.pro,Virtus.pro,SMASH,8,16,Dust2
25570,Spirit,SMASH,Spirit,10,16,Dust2
25571,SMASH,Virtus.pro,SMASH,14,16,Inferno
25572,Spirit,SMASH,Spirit,16,7,Train
25573,HAVU,HAVU,SMASH,7,16,Nuke
25574,Heretics,SMASH,Heretics,14,16,Nuke
25575,Heretics,Heretics,SMASH,7,16,Overpass
25576,SMASH,SMASH,internazionale,19,16,Nuke
25577,SMASH,Heretics,SMASH,20,22,Nuke
25578,SMASH,SMASH,Virtus.pro,19,17,Inferno
25579,Ancient,Ancient,SMASH,16,13,Overpass
25580,mousesports,SMASH,mousesports,10,16,Vertigo
25581,SMASH,Syman,SMASH,11,16,Overpass
25582,SMASH,SMASH,CR4ZY,16,10,Nuke
25583,SMASH,Ancient,SMASH,11,16,Nuke
25584,CR4ZY,SMASH,CR4ZY,16,7,Inferno
25585,SMASH,Spirit,SMASH,12,16,Nuke
25586,BIG,SMASH,BIG,10,16,Inferno
25587,SMASH,Pierogi,SMASH,12,16,Dust2
25588,HAVU,SMASH,HAVU,16,4,Mirage
25589,internazionale,internazionale,SMASH,22,20,Inferno
25590,SMASH,SMASH,HAVU,6,16,Dust2
25591,internazionale,internazionale,SMASH,4,16,Dust2
25592,NAVI Junior,SMASH,NAVI Junior,16,8,Nuke
25593,SMASH,Virtus.pro,SMASH,11,16,Overpass
25594,SMASH,SMASH,NAVI Junior,3,16,Dust2
25595,mousesports,mousesports,SMASH,16,12,Dust2
25596,NAVI Junior,SMASH,NAVI Junior,14,16,Overpass
25597,SMASH,BIG,SMASH,16,5,Nuke
25598,Complexity,SMASH,Complexity,14,16,Mirage
25599,SMASH,HellRaisers,SMASH,14,16,Inferno
25600,pro100,SMASH,pro100,10,16,Overpass
25601,HellRaisers,HellRaisers,SMASH,5,16,Dust2
25602,SMASH,SMASH,Singularity,9,16,Dust2
25603,SMASH,HAVU,SMASH,16,9,Nuke
25604,Singularity,SMASH,Singularity,14,16,Overpass
25605,Apeks,Apeks,SMASH,19,16,Mirage
25606,SMASH,SMASH,fnatic,6,16,Inferno
25607,AGO,AGO,SMASH,9,16,Mirage
25608,SMASH,SMASH,Movistar Riders,7,16,Nuke
25609,SMASH,Singularity,SMASH,11,16,Dust2
25610,SMASH,SMASH,Gambit Youngsters,9,16,Overpass
25611,Complexity,Complexity,SMASH,8,16,Overpass
25612,Spirit,SMASH,Spirit,16,5,Inferno
25613,SMASH,Complexity,SMASH,14,16,Inferno
25614,SMASH,SMASH,BIG,2,16,Dust2
25615,pro100,pro100,SMASH,16,14,Train
25616,SMASH,SMASH,Spirit,5,16,Nuke
25617,SMASH,Singularity,SMASH,12,16,Nuke
25618,SMASH,SMASH,Spirit,5,16,Mirage
25619,SMASH,fnatic,SMASH,16,7,Mirage
25620,SMASH,SMASH,Syman,9,16,Train
25621,SMASH,Movistar Riders,SMASH,14,16,Train
25622,Nordavind,SMASH,Nordavind,12,16,Overpass
25623,Movistar Riders,Movistar Riders,SMASH,16,12,Inferno
25624,Illuminar,SMASH,Illuminar,14,16,Overpass
25625,SMASH,Gambit Youngsters,SMASH,14,16,Mirage
25626,SMASH,SMASH,AGO,16,14,Dust2
25627,Gambit Youngsters,Gambit Youngsters,SMASH,16,12,Dust2
25628,SMASH,SMASH,BIG,4,16,Inferno
25629,SMASH,BIG,SMASH,16,7,Inferno
25630,forZe,SMASH,forZe,10,16,Mirage
25631,Spirit,Spirit,SMASH,4,16,Inferno
25632,forZe,SMASH,forZe,12,16,Inferno
25633,Syman,Syman,SMASH,16,11,Inferno
25634,SMASH,SMASH,Syman,22,18,Mirage
25635,SMASH,Nordavind,SMASH,16,3,Inferno
25636,SMASH,SMASH,Syman,16,14,Overpass
25637,SMASH,Illuminar,SMASH,13,16,Mirage
25638,SMASH,SMASH,BIG,7,16,Mirage
25639,Illuminar,Illuminar,SMASH,16,12,Nuke
25640,SMASH,SMASH,Complexity,16,13,Mirage
25641,SMASH,BIG,SMASH,11,16,Nuke
25642,SMASH,SMASH,Nordavind,25,22,Overpass
25643,SMASH,BIG,SMASH,10,16,Mirage
25644,Nordavind,SMASH,Nordavind,14,16,Mirage
25645,SMASH,BIG,SMASH,16,4,Dust2
25646,Nordavind,SMASH,Nordavind,16,4,Inferno
25647,AGO,AGO,SMASH,3,16,Mirage
25648,AGO,SMASH,AGO,16,6,Dust2
25649,SMASH,BIG,SMASH,12,16,Dust2
25650,SKADE,SMASH,SKADE,11,16,Overpass
25651,BIG,BIG,SMASH,16,13,Overpass
25652,KOVA,SMASH,KOVA,11,16,Nuke
25653,SMASH,BIG,SMASH,16,9,Nuke
25654,SMASH,SMASH,KOVA,16,14,Mirage
25655,Secret,Secret,SMASH,16,13,Dust2
25656,KOVA,SMASH,KOVA,16,6,Dust2
25657,AGO,AGO,SMASH,6,16,Dust2
25658,SODMG,SODMG,MASSIVEimpact,8,16,Inferno
25659,MASSIVEimpact,MASSIVEimpact,SODMG,16,11,Cache
25660,Party Astronauts,SODMG,Party Astronauts,0,16,Overpass
