Winner,Team1,Team2,Team1_Score,Team2_Score
5randoms,Anonymous,5randoms,16,2
2anosOLD,Infinity,2anosOLD,16,8
2anosOLD,Infinity,2anosOLD,10,16
Infinity,Infinity,2anosOLD,16,11
Black Dragons,FURIA,Black Dragons,16,5
FURIA,Black Dragons,FURIA,15,19
Isurus,Isurus,C4,16,11
C4,C4,Isurus,8,16
NeedJobs,NeedJobs,W7M,6,16
NeedJobs,W7M,NeedJobs,14,16
NeedJobs,W7M,NeedJobs,16,7
Mask Off,Mask Off,Mythic,19,17
RONIN,RONIN,Orion,19,17
Swole Patrol,Swole Patrol,Iceberg,16,10
UYA,UYA,Signature,3,16
UYA,Signature,UYA,16,5
Ground Zero,merry,Ground Zero,17,19
Grayhound,ORDER,Grayhound,16,7
ORDER,Grayhound,ORDER,16,9
ORDER,ORDER,Grayhound,16,13
Riotous,Riotous,MC,16,13
TRIDENT,Ground Zero,TRIDENT,16,7
Lucky7,Lucky7,Athletico,16,11
ex-NSPR,GameTV,ex-NSPR,16,4
Red Wolf,Champagne SuperNova,Red Wolf,17,19
AVANGAR,pro100,AVANGAR,10,16
Spirit,Spirit,EPG,8,16
Spirit,Spirit,Nemiga,16,13
WASD,WASD,Windigo,5,16
Forge,dreamchasers,Forge,16,3
KPI,Singularity,KPI,16,3
Heroic,Heroic,EPG,16,11
MANS NOT HOT,HD,MANS NOT HOT,11,16
ALTERNATE aTTaX,Kinguin,ALTERNATE aTTaX,10,16
Pompa,Pompa,AGO,16,14
TEAM5,dizLown,TEAM5,16,6
NASR,NASR,Limitless,19,17
NASR,NASR,Limitless,7,16
MANS NOT HOT,MANS NOT HOT,Windigo,16,10
dreamchasers,Heroic,dreamchasers,16,7
Singularity,Singularity,dizLown,16,12
Pompa,Pompa,ALTERNATE aTTaX,3,16
MANS NOT HOT,Heroic,MANS NOT HOT,10,16
MANS NOT HOT,MANS NOT HOT,Heroic,8,16
MANS NOT HOT,MANS NOT HOT,Heroic,2,16
Singularity,ALTERNATE aTTaX,Singularity,15,19
Singularity,ALTERNATE aTTaX,Singularity,16,9
ALTERNATE aTTaX,Singularity,ALTERNATE aTTaX,16,9
h00liGaNz,eRa,h00liGaNz,16,19
Orion,Atmosphere,Orion,16,2
Mask Off,F1-racecar-PEEK,Mask Off,16,5
Ghost Academy,Mythic,Ghost Academy,12,16
BlackOut,BlackOut,RONIN,8,16
Etherian,LFAO,Etherian,14,16
BlackOut,BlackOut,No Tenemos Nada,16,14
subtLe,Iceberg,subtLe,10,16
Azure,Azure,Riotous,4,16
ORDER,Tainted Minds,ORDER,16,2
ORDER,ORDER,Tainted Minds,16,1
ORDER,Tainted Minds,ORDER,15,19
ORDER,ORDER,Tainted Minds,16,14
seadoggs,seadoggs,TRIDENT,6,16
Riotous Academy,Riotous Academy,merry,8,16
UYA,UYA,GameTV,7,16
AVANGAR,GODSENT,AVANGAR,16,7
GODSENT,GODSENT,AVANGAR,16,14
HEY,GoodJob,HEY,12,16
forZe,forZe,Nemiga,19,17
